,phage,host
243,mg592572.1,aliivibrio fischeri
244,mg592573.1,aliivibrio fischeri
245,mg592574.1,aliivibrio fischeri
246,mg592575.1,aliivibrio fischeri
247,mg592576.1,aliivibrio fischeri
248,mg592577.1,aliivibrio fischeri
249,mg592578.1,aliivibrio fischeri
250,mg592579.1,aliivibrio fischeri
251,mg592580.1,aliivibrio fischeri
252,mg592581.1,aliivibrio fischeri
253,mg592583.1,aliivibrio fischeri
254,mg592584.1,aliivibrio fischeri
255,mg592585.1,aliivibrio fischeri
256,mg592587.1,aliivibrio fischeri
257,mg592588.1,aliivibrio fischeri
258,mg592589.1,aliivibrio fischeri
259,mg592590.1,aliivibrio fischeri
260,mg592591.1,aliivibrio fischeri
261,mg592592.1,aliivibrio fischeri
262,mg592593.1,aliivibrio fischeri
263,mg592594.1,aliivibrio fischeri
264,mg592595.1,aliivibrio fischeri
265,mg592596.1,aliivibrio fischeri
266,mg592597.1,aliivibrio fischeri
267,mg592599.1,aliivibrio fischeri
268,mg592600.1,aliivibrio fischeri
269,mg592601.1,aliivibrio fischeri
270,mg592603.1,aliivibrio fischeri
271,mg592605.1,aliivibrio fischeri
272,mg592606.1,aliivibrio fischeri
273,mg592607.1,aliivibrio fischeri
274,mg592608.1,aliivibrio fischeri
275,mg592609.1,aliivibrio fischeri
276,mg592610.1,aliivibrio fischeri
277,mg592611.1,aliivibrio fischeri
278,mg592612.1,aliivibrio fischeri
279,mg592614.1,aliivibrio fischeri
280,mg592615.1,aliivibrio fischeri
281,mg592617.1,aliivibrio fischeri
282,mg592618.1,aliivibrio fischeri
283,mg592619.1,aliivibrio fischeri
284,mg592620.1,aliivibrio fischeri
285,mg592621.1,aliivibrio fischeri
286,mg592622.1,aliivibrio fischeri
287,mg592623.1,aliivibrio fischeri
288,mg592624.1,aliivibrio fischeri
289,mg592625.1,aliivibrio fischeri
290,mg592626.1,aliivibrio fischeri
291,mg592627.1,aliivibrio fischeri
292,mg592629.1,aliivibrio fischeri
293,mg592630.1,aliivibrio fischeri
294,mg592631.1,aliivibrio fischeri
295,mg592632.1,aliivibrio fischeri
296,mg592633.1,aliivibrio fischeri
297,mg592635.1,aliivibrio fischeri
298,mg592636.1,aliivibrio fischeri
299,mg592638.1,aliivibrio fischeri
300,mg592640.1,aliivibrio fischeri
301,mg592641.1,aliivibrio fischeri
302,mg592642.1,aliivibrio fischeri
303,mg592643.1,aliivibrio fischeri
304,mg592644.1,aliivibrio fischeri
305,mg592645.1,aliivibrio fischeri
306,mg592647.1,aliivibrio fischeri
307,mg592648.1,aliivibrio fischeri
308,mg592649.1,aliivibrio fischeri
309,mg592650.1,aliivibrio fischeri
310,mg592651.1,aliivibrio fischeri
311,mg592654.1,aliivibrio fischeri
312,mg592655.1,aliivibrio fischeri
313,mg592656.1,aliivibrio fischeri
314,mg592657.1,aliivibrio fischeri
315,mg592658.1,aliivibrio fischeri
316,mg592659.1,aliivibrio fischeri
317,mg592660.1,aliivibrio fischeri
318,mg592661.1,aliivibrio fischeri
319,mg592663.1,aliivibrio fischeri
320,mg592665.1,aliivibrio fischeri
321,mg592666.1,aliivibrio fischeri
322,mg592667.1,aliivibrio fischeri
323,mg592668.1,aliivibrio fischeri
324,mg592671.1,aliivibrio fischeri
325,mg592672.1,aliivibrio fischeri
326,nc 021300,alteromonas macleodii
327,nc 021532,alteromonas macleodii
328,nc 021300,alteromonas marina
329,nc 029002,anabaena spirioides
330,nc 024358,anabaena variabilis
331,nc 010355,azospirillum brasilense
332,nc 030945,bacillus alcalophilus
333,nc 007734,bacillus anthracis
334,nc 007814,bacillus anthracis
335,nc 011523,bacillus anthracis
336,nc 016563,bacillus anthracis
337,nc 018856,bacillus anthracis
338,nc 020873,bacillus anthracis
339,nc 022094,bacillus anthracis
340,nc 023007,bacillus anthracis
341,nc 025423,bacillus anthracis
342,nc 028982,bacillus anthracis
343,nc 028983,bacillus anthracis
344,nc 029121,bacillus anthracis
345,nc 028758,bacillus borstelensis
346,nc 004820,bacillus cereus
347,nc 004821,bacillus cereus
348,nc 007458,bacillus cereus
349,nc 007734,bacillus cereus
350,nc 015252,bacillus cereus
351,nc 015253,bacillus cereus
352,nc 015254,bacillus cereus
353,nc 016563,bacillus cereus
354,nc 017976,bacillus cereus
355,nc 018856,bacillus cereus
356,nc 018857,bacillus cereus
357,nc 018860,bacillus cereus
358,nc 018863,bacillus cereus
359,nc 019515,bacillus cereus
360,nc 020873,bacillus cereus
361,nc 021531,bacillus cereus
362,nc 021783,bacillus cereus
363,nc 021801,bacillus cereus
364,nc 023007,bacillus cereus
365,nc 024137,bacillus cereus
366,nc 025423,bacillus cereus
367,nc 027352,bacillus cereus
368,nc 027355,bacillus cereus
369,nc 028789,bacillus cereus
370,nc 028982,bacillus cereus
371,nc 028983,bacillus cereus
372,nc 029010,bacillus cereus
373,nc 029024,bacillus cereus
374,nc 029121,bacillus cereus
375,nc 031053,bacillus cereus
376,nc 031055,bacillus cereus
377,nc 031056,bacillus cereus
378,nc 031095,bacillus cereus
379,nc 006557,bacillus clarkii
380,nc 030904,bacillus halmapalus
381,nc 020873,bacillus licheniformis
382,nc 027352,bacillus licheniformis
383,nc 028758,bacillus licheniformis
384,nc 031053,bacillus licheniformis
385,nc 031095,bacillus licheniformis
386,nc 006945,bacillus megaterium
387,nc 016563,bacillus megaterium
388,nc 018856,bacillus megaterium
389,nc 020873,bacillus megaterium
390,nc 022764,bacillus megaterium
391,nc 022767,bacillus megaterium
392,nc 022770,bacillus megaterium
393,nc 022774,bacillus megaterium
394,nc 023007,bacillus megaterium
395,nc 023719,bacillus megaterium
396,nc 025423,bacillus megaterium
397,nc 027352,bacillus megaterium
398,nc 027366,bacillus megaterium
399,nc 027372,bacillus megaterium
400,nc 027374,bacillus megaterium
401,nc 027394,bacillus megaterium
402,nc 028758,bacillus megaterium
403,nc 028777,bacillus megaterium
404,nc 028782,bacillus megaterium
405,nc 028856,bacillus megaterium
406,nc 028926,bacillus megaterium
407,nc 028982,bacillus megaterium
408,nc 028983,bacillus megaterium
409,nc 030920,bacillus megaterium
410,nc 042140,bacillus megaterium
411,nc 020873,bacillus psychrosaccharolyticus
412,nc 007456,bacillus pumilus
413,nc 020081,bacillus pumilus
414,nc 020477,bacillus pumilus
415,nc 020478,bacillus pumilus
416,nc 020479,bacillus pumilus
417,nc 020480,bacillus pumilus
418,nc 022765,bacillus pumilus
419,nc 022766,bacillus pumilus
420,nc 022773,bacillus pumilus
421,nc 023693,bacillus pumilus
422,nc 027352,bacillus pumilus
423,nc 028758,bacillus pumilus
424,nc 029121,bacillus pumilus
425,nc 041858,bacillus pumilus
426,nc 023007,bacillus sphaericus
427,nc 027352,bacillus sphaericus
428,nc 001884,bacillus subtilis
429,nc 004165,bacillus subtilis
430,nc 007456,bacillus subtilis
431,nc 008721,bacillus subtilis
432,nc 011048,bacillus subtilis
433,nc 011421,bacillus subtilis
434,nc 016073,bacillus subtilis
435,nc 016563,bacillus subtilis
436,nc 018856,bacillus subtilis
437,nc 020873,bacillus subtilis
438,nc 020883,bacillus subtilis
439,nc 021783,bacillus subtilis
440,nc 021801,bacillus subtilis
441,nc 021856,bacillus subtilis
442,nc 022761,bacillus subtilis
443,nc 022771,bacillus subtilis
444,nc 023007,bacillus subtilis
445,nc 023693,bacillus subtilis
446,nc 025423,bacillus subtilis
447,nc 027352,bacillus subtilis
448,nc 027388,bacillus subtilis
449,nc 028758,bacillus subtilis
450,nc 028982,bacillus subtilis
451,nc 028983,bacillus subtilis
452,nc 029010,bacillus subtilis
453,nc 029101,bacillus subtilis
454,nc 029121,bacillus subtilis
455,nc 030903,bacillus subtilis
456,nc 031008,bacillus subtilis
457,nc 031039,bacillus subtilis
458,nc 031245,bacillus subtilis
459,nc 041835,bacillus subtilis
460,nc 041836,bacillus subtilis
461,nc 041837,bacillus subtilis
462,nc 041838,bacillus subtilis
463,nc 041839,bacillus subtilis
464,nc 041840,bacillus subtilis
465,nc 041841,bacillus subtilis
466,nc 041842,bacillus subtilis
467,nc 042133,bacillus subtilis
468,nc 043027,bacillus subtilis
469,nc 005258,bacillus thuringiensis
470,nc 006945,bacillus thuringiensis
471,nc 009760,bacillus thuringiensis
472,nc 011167,bacillus thuringiensis
473,nc 015252,bacillus thuringiensis
474,nc 015253,bacillus thuringiensis
475,nc 015254,bacillus thuringiensis
476,nc 016563,bacillus thuringiensis
477,nc 018085,bacillus thuringiensis
478,nc 018856,bacillus thuringiensis
479,nc 018863,bacillus thuringiensis
480,nc 019502,bacillus thuringiensis
481,nc 019912,bacillus thuringiensis
482,nc 020873,bacillus thuringiensis
483,nc 022763,bacillus thuringiensis
484,nc 022769,bacillus thuringiensis
485,nc 023007,bacillus thuringiensis
486,nc 023599,bacillus thuringiensis
487,nc 024216,bacillus thuringiensis
488,nc 024792,bacillus thuringiensis
489,nc 025423,bacillus thuringiensis
490,nc 025424,bacillus thuringiensis
491,nc 027352,bacillus thuringiensis
492,nc 028748,bacillus thuringiensis
493,nc 028886,bacillus thuringiensis
494,nc 028887,bacillus thuringiensis
495,nc 028890,bacillus thuringiensis
496,nc 028944,bacillus thuringiensis
497,nc 028982,bacillus thuringiensis
498,nc 028983,bacillus thuringiensis
499,nc 029008,bacillus thuringiensis
500,nc 029121,bacillus thuringiensis
501,nc 031006,bacillus thuringiensis
502,nc 031012,bacillus thuringiensis
503,nc 031015,bacillus thuringiensis
504,nc 031024,bacillus thuringiensis
505,nc 031027,bacillus thuringiensis
506,nc 031034,bacillus thuringiensis
507,nc 031037,bacillus thuringiensis
508,nc 031049,bacillus thuringiensis
509,nc 031054,bacillus thuringiensis
510,nc 031070,bacillus thuringiensis
511,nc 031100,bacillus thuringiensis
512,nc 031116,bacillus thuringiensis
513,nc 031121,bacillus thuringiensis
514,nc 016563,bacillus weihenstephanensis
515,nc 018856,bacillus weihenstephanensis
516,nc 020873,bacillus weihenstephanensis
517,nc 021336,bacillus weihenstephanensis
518,nc 023007,bacillus weihenstephanensis
519,nc 025423,bacillus weihenstephanensis
520,nc 027352,bacillus weihenstephanensis
521,nc 011222,bacteroides fragilis
522,nc 016770,bacteroides fragilis
523,nc 031053,bacteroides fragilis
524,nc 031095,bacteroides fragilis
525,nc 002643,bdellovibrio bacteriovorus
526,nc 015721,bdellovibrio bacteriovorus
527,nc 019525,bdellovibrio bacteriovorus
528,nc 005357,bordetella bronchiseptica
529,nc 028758,brevibacillus brevis
530,nc 022980,brevibacillus laterosporus
531,nc 028749,brevibacillus laterosporus
532,nc 028758,brevibacillus laterosporus
533,nc 028805,brevibacillus laterosporus
534,nc 028969,brevibacillus laterosporus
535,nc 029029,brevibacillus laterosporus
536,nc 029104,brevibacillus laterosporus
537,nc 041976,brevibacillus laterosporus
538,nc 015252,brochothrix thermosphacta
539,nc 015253,brochothrix thermosphacta
540,nc 015254,brochothrix thermosphacta
541,nc 019446,brucella abortus
542,nc 031264,brucella abortus
543,nc 031264,brucella canis
544,nc 031264,brucella ceti
545,nc 031264,brucella inopinata
546,nc 019447,brucella melitensis
547,nc 031264,brucella melitensis
548,nc 031264,brucella microti
549,nc 031264,brucella neotomae
550,nc 031264,brucella ovis
551,nc 031264,brucella pinnipedialis
552,nc 031264,brucella suis
553,nc 031264,brucella vulpis
554,nc 009015,burkholderia ambifaria
555,nc 015266,burkholderia ambifaria
556,nc 005263,burkholderia cenocepacia
557,nc 009604,burkholderia cenocepacia
558,nc 011216,burkholderia cenocepacia
559,nc 012743,burkholderia cenocepacia
560,nc 015265,burkholderia cenocepacia
561,nc 015273,burkholderia cenocepacia
562,nc 018278,burkholderia cenocepacia
563,nc 018283,burkholderia cenocepacia
564,nc 019917,burkholderia cenocepacia
565,nc 022916,burkholderia cenocepacia
566,nc 004333,burkholderia cepacia
567,nc 005091,burkholderia cepacia
568,nc 005342,burkholderia cepacia
569,nc 005887,burkholderia cepacia
570,nc 007497,burkholderia cepacia
571,nc 009447,burkholderia cepacia
572,nc 018452,burkholderia cepacia
573,nc 029009,burkholderia cepacia
574,nc 005284,burkholderia pseudomallei
575,nc 007145,burkholderia pseudomallei
576,nc 009235,burkholderia pseudomallei
577,nc 009236,burkholderia pseudomallei
578,nc 021343,burkholderia pseudomallei
579,nc 013055,burkholderia pyrrocinia
580,nc 003309,burkholderia thailandensis
581,nc 009234,burkholderia thailandensis
582,nc 009237,burkholderia thailandensis
583,nc 016562,campylobacter coli
584,nc 018861,campylobacter coli
585,nc 015464,campylobacter jejuni
586,nc 016562,campylobacter jejuni
587,nc 018861,campylobacter jejuni
588,nc 031909,campylobacter jejuni
589,nc 041896,campylobacter jejuni
590,nc 042112,campylobacter jejuni
591,nc 019405,caulobacter crescentus
592,nc 019406,caulobacter crescentus
593,nc 019407,caulobacter crescentus
594,nc 019408,caulobacter crescentus
595,nc 019410,caulobacter crescentus
596,nc 019411,caulobacter crescentus
597,nc 019453,caulobacter crescentus
598,nc 025422,caulobacter crescentus
599,nc 021788,cellulophaga baltica
600,nc 021789,cellulophaga baltica
601,nc 021790,cellulophaga baltica
602,nc 021791,cellulophaga baltica
603,nc 021792,cellulophaga baltica
604,nc 021793,cellulophaga baltica
605,nc 021794,cellulophaga baltica
606,nc 021795,cellulophaga baltica
607,nc 021796,cellulophaga baltica
608,nc 021797,cellulophaga baltica
609,nc 021798,cellulophaga baltica
610,nc 021799,cellulophaga baltica
611,nc 021800,cellulophaga baltica
612,nc 021802,cellulophaga baltica
613,nc 021803,cellulophaga baltica
614,nc 021804,cellulophaga baltica
615,nc 021805,cellulophaga baltica
616,nc 021806,cellulophaga baltica
617,nc 001741,chlamydia psittaci
618,nc 001998,chlamydia psittaci
619,nc 002194,chlamydia psittaci
620,nc 002194,chlamydia trachomatis
621,nc 007461,chlamydophila abortus
622,nc 002180,chlamydophila pneumoniae
623,nc 027293,citrobacter freundii
624,nc 027331,citrobacter freundii
625,nc 027350,citrobacter freundii
626,nc 028247,citrobacter freundii
627,nc 028695,citrobacter freundii
628,nc 028795,citrobacter freundii
629,nc 028857,citrobacter freundii
630,nc 028880,citrobacter freundii
631,nc 028908,citrobacter freundii
632,nc 029013,citrobacter freundii
633,nc 029033,citrobacter freundii
634,nc 029102,citrobacter freundii
635,nc 029106,citrobacter freundii
636,nc 031018,citrobacter freundii
637,nc 031066,citrobacter freundii
638,nc 031092,citrobacter freundii
639,nc 031123,citrobacter freundii
640,nc 041977,citrobacter freundii
641,nc 042067,citrobacter freundii
642,nc 023548,citrobacter rodentium
643,nc 023576,citrobacter rodentium
644,nc 013698,clavibacter michiganensis
645,nc 023549,clavibacter michiganensis
646,nc 007581,clostridium botulinum
647,nc 007917,clostridium difficile
648,nc 009231,clostridium difficile
649,nc 011398,clostridium difficile
650,nc 015262,clostridium difficile
651,nc 015568,clostridium difficile
652,nc 019421,clostridium difficile
653,nc 019422,clostridium difficile
654,nc 028764,clostridium difficile
655,nc 028838,clostridium difficile
656,nc 028883,clostridium difficile
657,nc 028905,clostridium difficile
658,nc 028951,clostridium difficile
659,nc 028958,clostridium difficile
660,nc 028959,clostridium difficile
661,nc 029048,clostridium difficile
662,nc 029116,clostridium difficile
663,nc 031053,clostridium difficile
664,nc 031095,clostridium difficile
665,nc 003524,clostridium perfringens
666,nc 008265,clostridium perfringens
667,nc 011318,clostridium perfringens
668,nc 017978,clostridium perfringens
669,nc 017980,clostridium perfringens
670,nc 018083,clostridium perfringens
671,nc 018084,clostridium perfringens
672,nc 019496,clostridium perfringens
673,nc 019506,clostridium perfringens
674,nc 019508,clostridium perfringens
675,nc 019523,clostridium perfringens
676,nc 021325,clostridium perfringens
677,nc 031053,clostridium perfringens
678,nc 031095,clostridium perfringens
679,nc 019924,clostridium sporogenes
680,nc 028991,clostridium tetani
681,nc 029004,clostridium tetani
682,nc 029006,clostridium tetani
683,nc 029022,clostridium tetani
684,nc 030947,clostridium tetani
685,nc 030949,clostridium tetani
686,nc 030950,clostridium tetani
687,nc 030951,clostridium tetani
688,nc 018088,colwellia psychrerythaea
689,nc 009799,corynebacterium glutamicum
690,nc 009816,corynebacterium glutamicum
691,nc 042354,corynebacterium glutamicum
692,nc 042355,corynebacterium glutamicum
693,nc 042085,corynebacterium vitaeruminis
694,nc 042086,corynebacterium vitaeruminis
695,nc 042087,corynebacterium vitaeruminis
696,nc 042139,corynebacterium vitaeruminis
697,nc 018276,croceibacter atlanticus
698,nc 023614,croceibacter atlanticus
699,nc 019401,cronobacter dublinensis
700,nc 021531,cronobacter dublinensis
701,nc 019401,cronobacter malonaticus
702,nc 021531,cronobacter malonaticus
703,nc 023558,cronobacter malonaticus
704,nc 016073,cronobacter sakazakii
705,nc 017974,cronobacter sakazakii
706,nc 019398,cronobacter sakazakii
707,nc 019400,cronobacter sakazakii
708,nc 019401,cronobacter sakazakii
709,nc 019402,cronobacter sakazakii
710,nc 019509,cronobacter sakazakii
711,nc 019927,cronobacter sakazakii
712,nc 019934,cronobacter sakazakii
713,nc 020078,cronobacter sakazakii
714,nc 021531,cronobacter sakazakii
715,nc 021783,cronobacter sakazakii
716,nc 023717,cronobacter sakazakii
717,nc 024354,cronobacter sakazakii
718,nc 027352,cronobacter sakazakii
719,nc 028773,cronobacter sakazakii
720,nc 029010,cronobacter sakazakii
721,nc 031053,cronobacter sakazakii
722,nc 031095,cronobacter sakazakii
723,nc 021531,cronobacter turicensis
724,nc 023558,cronobacter turicensis
725,nc 019401,cronobacter universalis
726,nc 013697,delftia acidovorans
727,nc 028758,delftia acidovorans
728,nc 027348,delftia tsuruhatensis
729,nc 019925,dickeya chrysanthemi
730,nc 019925,dickeya dadantii
731,nc 019925,dickeya dianthicola
732,nc 019925,dickeya solani
733,nc 019925,dickeya zeae
734,nc 024367,dinoroseobacter shibae
735,nc 041921,dinoroseobacter shibae
736,nc 021342,edwardsiella ictaluri
737,nc 023555,edwardsiella ictaluri
738,nc 028683,edwardsiella ictaluri
739,nc 042029,edwardsiella ictaluri
740,nc 019452,enterobacter aerogenes
741,nc 021531,enterobacter aerogenes
742,nc 028695,enterobacter aerogenes
743,nc 028772,enterobacter aerogenes
744,nc 028908,enterobacter aerogenes
745,nc 029033,enterobacter aerogenes
746,nc 029106,enterobacter aerogenes
