phage_id	phage_def	host	flag	phage_organism	phage_kingdom	phage_phylum	phage_class	phage_order	phage_family	phage_genus	phage_species	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species
X96987	Bacillus phage GA-1	Bacillus sp. G1R	validate2	Bacillus virus GA1 (GA-1)	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Salasvirus	Bacillus virus GA1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. H15-1
HG428758	Brucella phage F1	Brucella sp.	validate2	Brucella phage F1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Perisivirus	Brucella virus Tb	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella sp. 2002734562
HE815464	Campylobacter phage CP21	Campylobacter sp.	validate2	Campylobacter virus CP21	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Firehammervirus	Campylobacter virus CP21	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp. RM12175
NC_011551	Bacteriophage APSE-2	Candidatus Hamiltonella defensa	validate1	Bacteriophage APSE-2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Bacteriophage APSE-2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hamiltonella	Candidatus Hamiltonella defensa
EU794049	Bacteriophage APSE-2	Candidatus Hamiltonella defensa	validate2	Bacteriophage APSE-2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Bacteriophage APSE-2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hamiltonella	Candidatus Hamiltonella defensa
CP004084	Enterobacteria phage phiX174	Enterobacteriaceae bacterium bta3-1	validate2	Escherichia virus phiX174	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Sinsheimervirus	Escherichia virus phiX174	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hoaglandella	Candidatus Hoaglandella endobia
JF773396	Liberibacter phage FP2	Candidatus Liberibacter asiaticus	validate1	Liberibacter phage FP2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Liberibacter phage FP2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter americanus
NC_019549	Liberibacter phage SC1	Candidatus Liberibacter asiaticus	validate1	Liberibacter phage SC1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Liberibacter phage SC1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter americanus
NC_019550	Liberibacter phage SC2	Candidatus Liberibacter asiaticus	validate1	Liberibacter phage SC2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Liberibacter phage SC2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter americanus
HQ377373	Liberibacter phage SC2	Candidatus Liberibacter asiaticus UF506	validate2	Liberibacter phage SC2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Liberibacter phage SC2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Liberibacter	Candidatus Liberibacter americanus
NC_020481	Pelagibacter phage HTVC010P	Candidatus Pelagibacter ubique	validate1	Pelagibacter phage HTVC010P	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Pelagibacter phage HTVC010P	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
NC_020482	Pelagibacter phage HTVC011P	Candidatus Pelagibacter ubique	validate1	Pelagibacter phage HTVC011P	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Stopavirus	Pelagibacter virus HTVC011P	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
NC_020483	Pelagibacter phage HTVC019P	Candidatus Pelagibacter ubique	validate1	Pelagibacter phage HTVC019P	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Pelagivirus	Pelagibacter virus HTVC019P	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
NC_020484	Pelagibacter phage HTVC008M	Candidatus Pelagibacter ubique	validate1	Pelagibacter phage HTVC008M	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Pelagibacter phage HTVC008M	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
KC465899	Pelagibacter phage HTVC008M	Candidatus Pelagibacter ubique HTCC1062	validate2	Pelagibacter phage HTVC008M	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Pelagibacter phage HTVC008M	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
KC465898	Pelagibacter phage HTVC010P	Candidatus Pelagibacter ubique HTCC1062	validate2	Pelagibacter phage HTVC010P	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Pelagibacter phage HTVC010P	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
KC465900	Pelagibacter phage HTVC011P	Candidatus Pelagibacter ubique HTCC1062	validate2	Pelagibacter phage HTVC011P	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Stopavirus	Pelagibacter virus HTVC011P	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
KC465901	Pelagibacter phage HTVC019P	Candidatus Pelagibacter ubique HTCC1062	validate2	Pelagibacter phage HTVC019P	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Pelagivirus	Pelagibacter virus HTVC019P	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
NC_021864	Puniceispirillum phage HMO-2011	Candidatus Puniceispirillum marinum	validate1	Puniceispirillum phage HMO-2011	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Puniceispirillum phage HMO-2011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum
GU557055	Puniceispirillum phage HMO-2011	Candidatus Puniceispirillum marinum IMCC1322	validate2	Puniceispirillum phage HMO-2011	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Puniceispirillum phage HMO-2011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum
KC311669	Acinetobacter phage AB3	carbapenem-resistant Acinetobacter baumannii	validate2	Acinetobacter phage AB3	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Friunavirus	Acinetobacter virus AB3	NA	NA	NA	NA	NA	carbapenem-resistant	carbapenem-resistant acinetobacter
JX163858	Caulobacter phage phiCbK	Caulobacter crescentus	validate1	Caulobacter virus phiCbK	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Shapirovirus	Caulobacter virus phiCbK	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
KF301602	Caulobacter phage Cr30	Caulobacter crescentus	validate1	Caulobacter phage Cr30	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Caulobacter phage Cr30	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
HM066936	Caulobacter phage phiCb5	Caulobacter crescentus	validate2	Caulobacter phage phiCb5	Viruses	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	NA	Caulobacter phage phiCb5	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
JX100813	Caulobacter phage phiCbK	Caulobacter crescentus	validate2	Caulobacter virus phiCbK	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Shapirovirus	Caulobacter virus phiCbK	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
JX100810	Caulobacter phage CcrColossus	Caulobacter crescentus	validate2	Caulobacter phage CcrColossus	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Colossusvirus	Caulobacter virus CcrColossus	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
JX100811	Caulobacter phage CcrKarma	Caulobacter crescentus	validate2	Caulobacter virus Karma	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Shapirovirus	Caulobacter virus Karma	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
JX100812	Caulobacter phage CcrMagneto	Caulobacter crescentus	validate2	Caulobacter virus Magneto	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Shapirovirus	Caulobacter virus Magneto	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
JX100814	Caulobacter phage CcrRogue	Caulobacter crescentus	validate2	Caulobacter virus Rogue	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Phicbkvirus	Caulobacter virus Rogue	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
JX100809	Caulobacter phage CcrSwift	Caulobacter crescentus	validate2	Caulobacter virus Swift	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Shapirovirus	Caulobacter virus Swift	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides
HQ317392	Cellulophaga phage phiSM	Cellulophaga sp. MM#3	validate2	Cellulophaga phage phiSM	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Cellulophaga phage phiSM	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga sp. L1A9
HQ634192	Cellulophaga phage phiST	Cellulophaga sp. MM#3	validate2	Cellulophaga phage phiST	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cbastvirus	Cellulophaga virus ST	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga sp. L1A9
AJ550635	Chlamydia phage 3	Chlamydophila pecorum	validate2	Chlamydia phage 3	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Chlamydiamicrovirus	Chlamydia virus Chp2	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pecorum
AE002163	Chlamydia phage CPAR39	Chlamydophila pneumoniae AR39	validate2	Chlamydia virus CPAR39	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Chlamydiamicrovirus	Chlamydia virus CPAR39	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pneumoniae
EU719189	Clostridium phage phiCD27	Clostridium difficile	validate2	Clostridium virus phiCD27	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Lubbockvirus	Clostridium virus phiCD27	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
JX145341	Clostridium phage phiMMP02	Clostridium difficile	validate2	Clostridium phage phiMMP02	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Lubbockvirus	Clostridium phage phiMMP02	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
JX145342	Clostridium phage phiMMP04	Clostridium difficile	validate2	Clostridium phage phiMMP04	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Clostridium phage phiMMP04	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
GU949551	Clostridium phage phiCD6356	Clostridium difficile	validate2	Clostridium phage phiCD6356	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Clostridium phage phiCD6356	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
HM568888	Clostridium phage phiCD38-2	Clostridium difficile	validate2	Clostridium phage phiCD38-2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Clostridium phage phiCD38-2	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
KJ716335	Dickeya phage RC-2014	Dickeya sp.	validate2	Dickeya phage RC-2014	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Ackermannviridae	Limestonevirus	Dickeya virus RC2014	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	Dickeya sp. Secpp 1600
AJ298298	Enterobacteria phage phiP27	E. coli ONT:H- strain 2771/97	validate2	Enterobacteria phage phiP27	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	NA	Enterobacteria phage phiP27	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli
JX045650	Enterobacteria phage Hgal1	Enterobacteriaceae	validate2	Enterobacteria phage Hgal1	Viruses	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	Levivirus	Enterobacteria phage Hgal1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hoaglandella	enterobacteriaceae
JX045649	Enterobacteria phage C-1 INW-2012	Enterobacteriaceae	validate2	Enterobacteria phage C-1 INW-2012	Viruses	Lenarviricota	Allassoviricetes	Levivirales	Leviviridae	Levivirus	Enterobacteria phage C-1 INW-2012	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hoaglandella	enterobacteriaceae
KF733017	Enterococcus phage IME-EF4	Enterococcus sp.	validate2	Enterococcus phage IME-EF4	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Efquatrovirus	Enterococcus virus EF4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. CR-Ec1
KF700371	Erwinia phage FE44	Erwinia sp. 60	validate2	Erwinia phage FE44	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Berlinvirus	Erwinia virus FE44	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp. Ejp617
JN882298	Escherichia phage phiKT	Escherichia sp.	validate2	Escherichia phage phiKT	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Ermolevavirus	Escherichia virus PhiKT	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp. E4742
AJ842011	Flavobacterium phage 11b	Flavobacterium sp.	validate2	Flavobacterium phage 11b	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Flavobacterium phage 11b	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium album
DQ340064	Geobacillus phage GBSV1	Geobacillus sp. 6k51	validate2	Geobacillus phage GBSV1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Svunavirus	Geobacillus virus GBSV1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. Y412MC52
AY212251	Streptococcus phage C1	group C Streptococci	validate2	Streptococcus virus C1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Fischettivirus	Streptococcus virus C1	NA	NA	NA	NA	NA	group	group c
KJ847052	Idiomarinaceae phage 1N2-2	Idiomarinaceae bacterium N2-2	validate2	Idiomarinaceae phage 1N2-2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Idiomarinaceae phage 1N2-2	NA	NA	NA	NA	NA	idiomarinaceae	idiomarinaceae bacterium
KM226324	Idiomarinaceae phage Phi1M2-2	Idiomarinaceae bacterium M2-2	validate2	Idiomarinaceae phage Phi1M2-2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Idiomarinaceae phage Phi1M2-2	NA	NA	NA	NA	NA	idiomarinaceae	idiomarinaceae bacterium
EU876853	Iodobacteriophage phiPLPE	Iodobacter sp. CdM7	validate2	Iodobacteriophage phiPLPE	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Iodovirus	Iodobacter virus PLPE	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Iodobacter	Iodobacter sp. H11R3
EU734173	Klebsiella phage K11	Klebsiella sp. 390	validate2	Klebsiella phage K11	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Przondovirus	Klebsiella virus K11	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. LTGPAF-6F
JQ513383	Enterobacteria phage vB_KleM-RaK2	Klebsiella sp.	validate2	Enterobacteria phage vB_KleM-RaK2	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Alcyoneusvirus	Klebsiella virus RaK2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. LTGPAF-6F
HQ141410	Lactobacillus phage LF1	Lactobacillus sp.	validate2	Lactobacillus phage LF1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Lactobacillus phage LF1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. CBA3606
HQ141411	Lactobacillus phage Sha1	Lactobacillus sp.	validate2	Lactobacillus phage Sha1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Lactobacillus phage Sha1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. CBA3606
KM091442	Lactococcus phage phi15	Lactococcus sp. 936	validate2	Lactococcus phage phi15	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus phage phi15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus allomyrinae
KM091444	Lactococcus phage phi145	Lactococcus sp. 936	validate2	Lactococcus phage phi145	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus phage phi145	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus allomyrinae
KM091443	Lactococcus phage phi93	Lactococcus sp. 936	validate2	Lactococcus phage phi93	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus phage phi93	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus allomyrinae
KM370384	Lelliottia phage phD2B	Lelliottia sp. GL2	validate2	Lelliottia phage phD2B	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Tuodvirus	Lelliottia virus phD2B	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia	Lelliottia sp. WB101
JX442241	Listeria phage P70	Listeria sp.	validate2	Listeria phage P70	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Homburgvirus	Listeria virus P70	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria sp. PSOL-1
AY772740	Listonella phage phiHSIC	Listonella pelagia	validate2	Listonella phage phiHSIC	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Listonella phage phiHSIC	NA	NA	NA	NA	NA	listonella	listonella pelagia
JQ867100	Marinomonas phage P12026	Marinomonas sp. IMCC12026	validate2	Marinomonas phage P12026	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Marinomonas phage P12026	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas sp. MWYL1
KF598856	Staphylococcus phage YMC/09/04/R1988	methicillin-resistant Staphylococcus aureus YMC/09/04/R1988	validate2	Staphylococcus phage YMC/09/04/R1988	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Triavirus	Staphylococcus phage YMC/09/04/R1988	NA	NA	NA	NA	NA	methicillin-resistant	methicillin-resistant staphylococcus
NC_023859	Microbacterium phage vB_MoxS-ISF9	Microbacterium oxydans	validate1	Microbacterium phage vB_MoxS-ISF9	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Farahnazvirus	Microbacterium virus ISF9	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oxydans
KJ173786	Microbacterium phage vB_MoxS-ISF9	Microbacterium oxydans	validate2	Microbacterium phage vB_MoxS-ISF9	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Farahnazvirus	Microbacterium virus ISF9	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oxydans
KM101122	Mycobacterium phage Hades	Mycobacteruim smegmatis mc2 155	validate2	Mycobacterium phage Hades	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	Mycobacterium phage Hades	NA	NA	NA	NA	NA	mycobacteruim	mycobacteruim smegmatis
KM101124	Mycobacterium phage Squirty	Mycobacteruim smegmatis mc2 155	validate2	Mycobacterium phage Squirty	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	Mycobacterium phage Squirty	NA	NA	NA	NA	NA	mycobacteruim	mycobacteruim smegmatis
EF536069	Mycobacterium phage Tweety	Mycobaterium smegmatis	validate2	Mycobacterium phage Tweety	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	Mycobacterium virus Tweety	NA	NA	NA	NA	NA	mycobaterium	mycobaterium smegmatis
L13696	Acholeplasma phage L2	Mycoplasma sp.	validate2	Acholeplasma virus L2	Viruses	NA	NA	NA	Plasmaviridae	Plasmavirus	Acholeplasma virus L2	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. (ex Biomphalaria glabrata)
KF771641	Halovirus VNH-1	nanohaloarchaea archaeon AB578-D14	validate2	Halovirus VNH-1	Viruses	NA	NA	NA	NA	NA	Halovirus VNH-1	NA	NA	NA	NA	NA	nanohaloarchaea	nanohaloarchaea archaeon
KJ534580	Nitrincola phage 1M3-16	Nitrincola sp. M3-16	validate2	Nitrincola phage 1M3-16	Viruses	Uroviricota	Caudoviricetes	Caudovirales	NA	NA	Nitrincola phage 1M3-16	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Nitrincola	Nitrincola sp. KXZD1103
JN391180	Salmonella phage SPN1S	pathenogenic Salmonella bacterium	validate2	Salmonella phage SPN1S	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Uetakevirus	Salmonella virus SPN1S	NA	NA	NA	NA	NA	pathenogenic	pathenogenic salmonella
