,phage,host,label,source,k3dist,k6dist,GCdiff,Homology,genus,gram_pos,aerobic,anaerobic,facultative,coccus,bacillus,spiral,motile,phylum_firmicutes,phylum_proteobacteria,phylum_actinobacteria,phylum_bacteroidetes,phylum_cyanobacteria,phylum_chlamydiae
16,nc 023581,acinetobacter baumannii,1,vhi,0.335819502919245,0.324299171913464,-1.19662512834784,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,nc 023590,acinetobacter baumannii,1,vhi,0.303582328377938,0.360518173252334,6.51230970773908,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,nc 024785,acinetobacter baumannii,1,vhi,0.0797167269618531,0.191765188719063,-1.36348643200296,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,nc 025457,acinetobacter baumannii,1,vhi,0.451723797736401,0.409023603443678,2.20340811581939,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,nc 025462,acinetobacter baumannii,1,vhi,0.288601379688902,0.313442341616473,-1.69309133267748,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,nc 027332,acinetobacter baumannii,1,vhi,0.245689664128272,0.267134589686289,-1.92696502450678,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,nc 028675,acinetobacter baumannii,1,vhi,0.460841044841242,0.408925677600364,0.123636208024955,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,nc 028679,acinetobacter baumannii,1,vhi,0.471486135074728,0.412909854789118,0.374815480469593,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,nc 028684,acinetobacter baumannii,1,vhi,0.464508208213347,0.410477860436494,0.514700492247876,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,nc 028695,acinetobacter baumannii,0,vhi,0.238392030528154,0.329417469699172,13.0093238418216,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,nc 028848,acinetobacter baumannii,1,vhi,0.482561871038652,0.420735075548261,0.324447278599642,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,nc 028908,acinetobacter baumannii,0,vhi,0.301745744327741,0.307644858760782,16.2394777194516,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,nc 028987,acinetobacter baumannii,1,vhi,0.461199301967448,0.405192863514634,0.350618692731935,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,nc 029033,acinetobacter baumannii,0,vhi,0.37085699531379,0.406077569294676,17.0545966890505,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,nc 029106,acinetobacter baumannii,0,vhi,0.24528353184838,0.308909812008416,21.1481774894779,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,nc 031086,acinetobacter baumannii,1,vhi,0.4578380988989,0.408510128795874,0.504867558596651,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,nc 031098,acinetobacter baumannii,1,vhi,0.0877281579117829,0.17241814411249,1.29348327793336,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,nc 031117,acinetobacter baumannii,1,vhi,0.0735129198497402,0.186066157192294,-1.01462976605102,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,nc 031280,acinetobacter baumannii,1,vhi,0.280465948729624,0.301687063840371,-1.18890276867889,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,nc 041857,acinetobacter baumannii,1,vhi,0.0734953250014881,0.186711135641135,-1.46586830341729,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,nc 041884,acinetobacter baumannii,1,vhi,0.438529376681081,0.370093215705364,-8.1985643687083,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,nc 041905,acinetobacter baumannii,1,vhi,0.45934952420742,0.407072031864986,0.500891666227311,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,nc 041914,acinetobacter baumannii,1,vhi,0.463169503764297,0.409640641537855,0.351806540049978,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,nc 041915,acinetobacter baumannii,1,vhi,0.482879018331019,0.419395297842533,0.329341571787268,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,nc 041924,acinetobacter baumannii,1,vhi,0.0745483189656262,0.181730220571357,-1.38482656155853,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,nc 041966,acinetobacter baumannii,1,vhi,0.0755654339550459,0.184548926372992,-1.33632462812609,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,nc 041967,acinetobacter baumannii,1,vhi,0.451274823441285,0.402577226102229,0.431969973622628,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,nc 041998,acinetobacter baumannii,1,vhi,0.079924062958198,0.193924179920931,-1.12523888835636,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,nc 042003,acinetobacter baumannii,1,vhi,0.478938477025269,0.418674127512619,0.182073841821769,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,nc 042004,acinetobacter baumannii,1,vhi,0.464531877342533,0.410498706998456,0.312614432018194,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,nc 042005,acinetobacter baumannii,1,vhi,0.46333175475439,0.409018649168135,0.347028797094943,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,nc 042028,acinetobacter baumannii,1,vhi,0.0702157510149874,0.184866439907282,-1.27366509765815,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,nc 042124,acinetobacter baumannii,1,vhi,0.461776229355971,0.410117704273603,0.270090200310158,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,nc 042137,acinetobacter baumannii,1,vhi,0.280314429024202,0.347632034851479,5.38462259097526,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,nc 014661,acinetobacter johnsonii,1,vhi,0.161481628639759,0.230894683311293,-2.38711056945576,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,nc 014663,acinetobacter johnsonii,1,vhi,0.0944295332303824,0.191746258540666,-1.36526676915097,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,nc 015250,acinetobacter johnsonii,1,vhi,0.0871593594170149,0.177217462408788,-1.72057250217136,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,nc 042006,acinetobacter pittii,1,vhi,0.441501611556735,0.394501198148905,0.207863041396514,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,nc 042007,acinetobacter pittii,1,vhi,0.459451778839193,0.406998452666983,0.345309218446651,0.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,nc 028995,acinetobacter soli,1,vhi,0.0644799252027137,0.180360129855367,-4.629372072102,1.0,acinetobacter,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,nc 009643,actinomyces naeslundii,1,vhi,0.395518647855264,0.437762375608659,-18.9411789364948,0.0,actinomyces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,nc 005260,aeromonas hydrophila,1,vhi,0.228007956682208,0.324494782188467,-18.7694776378534,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
58,nc 019538,aeromonas hydrophila,1,vhi,0.2858033437786,0.33815917517775,-22.7273819607653,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
59,nc 025459,aeromonas hydrophila,1,vhi,0.225046554796876,0.276035453866719,-8.72204151094094,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,nc 028795,aeromonas hydrophila,0,vhi,0.320833706160048,0.393167339800515,-10.7775133515013,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
61,nc 029102,aeromonas hydrophila,0,vhi,0.31181896904421,0.392755173837795,-10.909031522668,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
62,nc 009542,aeromonas media,1,vhi,0.0405543029213392,0.117819894390639,1.00640173269879,1.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
63,nc 005135,aeromonas salmonicida,1,vhi,0.185804106757578,0.25364422925821,-14.6443735690416,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
64,nc 007022,aeromonas salmonicida,1,vhi,0.186855996258841,0.252874862867597,-14.6116665787699,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
65,nc 008208,aeromonas salmonicida,1,vhi,0.14954994306151,0.243617140331767,-17.4853152718473,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
66,nc 014635,aeromonas salmonicida,1,vhi,0.14926114393998,0.241885031395179,-17.22777443071,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
67,nc 014636,aeromonas salmonicida,1,vhi,0.231374650916361,0.307207272560534,-15.528318662544,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
68,nc 015251,aeromonas salmonicida,1,vhi,0.290493025818684,0.344701527270727,-21.3289614294567,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
69,nc 019527,aeromonas salmonicida,1,vhi,0.0317525969385412,0.127316259155074,-3.10043019340845,1.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
70,nc 019528,aeromonas salmonicida,1,vhi,0.206255414659713,0.289876726156163,-1.60698674892304,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
71,nc 019543,aeromonas salmonicida,1,vhi,0.152183201965763,0.2418137022508,-17.2984324023911,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
72,nc 023688,aeromonas salmonicida,1,vhi,0.23342592336566,0.307299800645592,-16.4820968663025,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
73,nc 028795,aeromonas salmonicida,0,vhi,0.331257293865706,0.387692193032871,-7.75421454099387,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
74,nc 029102,aeromonas salmonicida,0,vhi,0.321236496824086,0.386763076873168,-7.8857327121606,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
75,nc 042019,aeromonas salmonicida,1,vhi,0.150154873929234,0.241193525455813,-17.3958986666977,0.0,aeromonas,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
76,nc 013597,aggregatibacter actinomycetemcomitans,1,vhi,0.0319931209374654,0.109629034345025,-1.88240592112509,1.0,aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,nc 042013,agrobacterium tumefaciens,1,vhi,0.140581855886367,0.229629023658018,-22.4289237210167,1.0,agrobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,mg592390.1,aliivibrio fischeri,0,vhi,0.0782625935189697,0.212216969903825,3.88917927762336,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,mg592391.1,aliivibrio fischeri,0,vhi,0.324059525167172,0.319930720034218,6.03069263848948,1.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,mg592392.1,aliivibrio fischeri,0,vhi,0.0556958370661386,0.160415627400837,5.00839400524002,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,mg592393.1,aliivibrio fischeri,0,vhi,0.0831885936608968,0.20933826826815,3.89287028170932,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,mg592394.1,aliivibrio fischeri,0,vhi,0.35813616230367,0.415954766713369,4.3781690540675,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,mg592395.1,aliivibrio fischeri,0,vhi,0.366282358510317,0.391542188501441,18.7389163341722,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,mg592396.1,aliivibrio fischeri,0,vhi,0.35798562669526,0.41573392695426,4.40652712193781,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,mg592397.1,aliivibrio fischeri,0,vhi,0.469410740751974,0.407282824195492,9.65405380259422,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,mg592398.1,aliivibrio fischeri,0,vhi,0.0930340851863901,0.21027193850518,4.90965016124552,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,mg592399.1,aliivibrio fischeri,0,vhi,0.383487332497255,0.3831255349189,8.65893258009542,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,mg592400.1,aliivibrio fischeri,0,vhi,0.0966462946426134,0.212921113094225,4.33503169725137,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,mg592401.1,aliivibrio fischeri,0,vhi,0.0768657935595372,0.174813508177489,5.33442680348963,1.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,mg592402.1,aliivibrio fischeri,0,vhi,0.317201879901642,0.403944109311652,4.71007256297757,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,mg592403.1,aliivibrio fischeri,0,vhi,0.256036607609884,0.271785727032914,7.5641983790744,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,mg592406.1,aliivibrio fischeri,0,vhi,0.487206367677011,0.423215405760968,9.60245454490399,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,mg592407.1,aliivibrio fischeri,0,vhi,0.485980412414365,0.417438866793911,9.67244220339286,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,mg592408.1,aliivibrio fischeri,0,vhi,0.481550923454313,0.4210387784171,10.1080343523784,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,mg592409.1,aliivibrio fischeri,0,vhi,0.346257039070808,0.306671939789204,4.15164971004371,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,mg592410.1,aliivibrio fischeri,0,vhi,0.346247828070568,0.30594483830109,4.14930808518827,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,mg592411.1,aliivibrio fischeri,0,vhi,0.468633741078296,0.412642195312255,9.63971888672786,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,mg592412.1,aliivibrio fischeri,0,vhi,0.0691702713384075,0.189340861891326,6.99067926454604,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,mg592413.1,aliivibrio fischeri,0,vhi,0.107024002562195,0.232982125808484,3.60073601424254,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,mg592414.1,aliivibrio fischeri,0,vhi,0.0473995867997435,0.159529453022989,4.94037933675724,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,mg592415.1,aliivibrio fischeri,0,vhi,0.539602025368439,0.447771073493237,4.20588587753388,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,mg592416.1,aliivibrio fischeri,0,vhi,0.482594651965087,0.416263730527871,9.49155201894166,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,mg592417.1,aliivibrio fischeri,0,vhi,0.486075362081921,0.423174160607972,9.40014398523157,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,mg592418.1,aliivibrio fischeri,0,vhi,0.380608301139621,0.380514165146235,9.06947479118307,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,mg592420.1,aliivibrio fischeri,0,vhi,0.0848302445651907,0.2020655188752,3.84550794188251,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,mg592421.1,aliivibrio fischeri,0,vhi,0.324776880783216,0.320739734893192,6.01468301741475,1.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,mg592422.1,aliivibrio fischeri,0,vhi,0.0998721916205846,0.230016269720234,4.21487478580454,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,mg592423.1,aliivibrio fischeri,0,vhi,0.0898055811348909,0.214300843139058,3.5712041911523,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,mg592424.1,aliivibrio fischeri,0,vhi,0.358084927702694,0.415838738288631,4.36871636477739,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,mg592425.1,aliivibrio fischeri,0,vhi,0.0989668084956052,0.221862321716351,4.22218713548634,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,mg592426.1,aliivibrio fischeri,0,vhi,0.331668149060653,0.411670091622049,2.86947125477725,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,mg592427.1,aliivibrio fischeri,0,vhi,0.33227247053064,0.412247522489815,2.8402656473006,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,mg592428.1,aliivibrio fischeri,0,vhi,0.485696945395204,0.415619724609754,9.36952186917019,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,mg592429.1,aliivibrio fischeri,0,vhi,0.0802758869567129,0.211387307095957,4.34726257757627,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,mg592430.1,aliivibrio fischeri,0,vhi,0.334439521900141,0.413105656352991,2.77193844788102,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,mg592431.1,aliivibrio fischeri,0,vhi,0.224203638209502,0.276825213993481,2.64540655558287,0.0,aliivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
